,hatchery,hatcher,setter,driver_id,vehicle_number,source_of_eggs,customer_type,doc_dead_1st_week,docs_received,dispatch_date
0,,,,,,,,47.0,1029.0,2025-08-07
1,,,,,,,Existing,40.0,1555.0,2025-07-17
2,,,,,,,Existing,78.0,1530.0,2025-07-18
3,,,,,,,Existing,100.0,1557.0,2025-07-17
4,,,,,,,Existing,85.0,992.0,2025-07-17
5,,,,,,,Existing,4.0,504.0,2025-07-18
6,,,,,,,Existing,30.0,1020.0,2025-07-18
7,,,,,,,Existing,36.0,2652.0,2025-07-17
8,,,,,,,Existing,76.0,1486.0,2025-07-17
9,,,,,,,Existing,50.0,1530.0,2025-07-17
10,,,,,,,Existing,76.0,5033.0,2025-07-18
11,,,,,,,Existing,16.0,408.0,2025-07-17
12,,,,,,,Existing,39.0,995.0,2025-07-17
13,,,,,,,New,40.0,510.0,2025-07-18
14,,,,,,,Existing,20.0,1000.0,2025-07-17
15,,,,,,,Existing,53.0,2550.0,2025-07-17
16,,,,,,,Existing,33.0,459.0,2025-07-18
17,,,,,,,Existing,22.0,510.0,2025-07-18
18,,,,,,,Existing,33.0,2973.0,2025-07-18
19,,,,,,,Existing,14.0,816.0,2025-07-17
20,,,,,,,Existing,14.0,306.0,2025-07-18
21,,,,,,,Existing,16.0,714.0,2025-07-17
22,,,,,,,Existing,76.0,2040.0,2025-07-17
23,,,,,,,Existing,30.0,1224.0,2025-07-17
24,,,,,,,Existing,32.0,408.0,2025-07-18
25,,,,,,,New,5.0,600.0,2025-07-18
26,,,,,,,Existing,197.0,4073.0,2025-07-21
27,,,,,,,Existing,30.0,2040.0,2025-07-21
28,,,,,,,Existing,50.0,990.0,2025-07-21
29,,,,,,,Existing,7.0,1020.0,2025-07-21
30,,,,,,,Existing,233.0,430.0,2025-07-22
31,,,,,,,Existing,60.0,2040.0,2025-07-21
32,,,,,,,Existing,30.0,1530.0,2025-07-22
33,,,,,,,Existing,22.0,1734.0,2025-07-21
34,,,,,,,Existing,130.0,3699.0,2025-07-21
35,,,,,,,Existing,14.0,510.0,2025-07-22
36,,,,,,,New,4.0,306.0,2025-07-22
37,,,,,,,Existing,20.0,1366.0,2025-07-21
38,,,,,,,New,30.0,2040.0,2025-07-22
39,,,,,,,Existing,50.0,3060.0,2025-07-22
40,,,,,,,Existing,7.0,408.0,2025-07-22
41,,,,,,,Existing,120.0,4080.0,2025-07-22
42,,,,,,,Existing,150.0,5100.0,2025-07-22
43,,,,,,,New,27.0,493.0,2025-07-22
44,,,,,,,Existing,23.0,510.0,2025-07-22
45,,,,,,,Existing,50.0,5082.0,2025-07-21
46,,,,,,,Existing,100.0,2040.0,2025-07-22
47,,,,,,,Existing,47.0,1020.0,2025-07-22
48,,,,,,,Existing,29.0,1020.0,2025-07-22
49,,,,,,,New,53.0,1530.0,2025-07-22
50,,,,,,,New,6.0,306.0,2025-07-22
51,,,,,,,Existing,30.0,1530.0,2025-07-22
52,,,,,,,Existing,54.0,2754.0,2025-07-24
53,,,,,,,Existing,8.0,510.0,2025-07-24
54,,,,,,,Existing,30.0,1029.0,2025-07-24
55,,,,,,,Existing,125.0,1020.0,2025-07-24
56,,,,,,,Existing,26.0,2042.0,2025-07-24
57,,,,,,,New,205.0,8143.0,2025-07-24
58,,,,,,,Existing,38.0,918.0,2025-07-24
59,,,,,,,Existing,163.0,1020.0,2025-07-24
60,,,,,,,Existing,50.0,1020.0,2025-07-24
61,,,,,,,Existing,300.0,2040.0,2025-07-24
62,,,,,,,Existing,30.0,3060.0,2025-07-24
63,,,,,,,Existing,537.0,4080.0,2025-07-24
64,,,,,,,Existing,199.0,2550.0,2025-07-24
65,,,,,,,Existing,60.0,2040.0,2025-07-24
66,,,,,,,New,10.0,509.0,2025-07-24
67,,,,,,,Existing,56.0,1020.0,2025-07-24
68,,,,,,,Existing,35.0,510.0,2025-07-24
69,,,,,,,Existing,34.0,578.0,2025-07-24
70,,,,,,,Existing,30.0,612.0,2025-07-24
71,,,,,,,Existing,80.0,1020.0,2025-07-24
72,,,,,,,Existing,28.0,1020.0,2025-07-24
73,,,,,,,Existing,101.0,2040.0,2025-07-24
74,,,,,,,Existing,3.0,357.0,2025-07-24
